response,page,survey
"All children should be taught the truth about their history. people of Durham deserve to be educated, governed, and live and develop in an environment of high morals, honesty, equity, and respect for a safe and full life.",32,county 
Better protection of children in and out of school.,32,county 
Bigger education budget and more resources for special needs children.,32,county 
"Cancel ""no child left behind"" because kids are being promoted regardless of knowledge and/or abilities. Achieve by doing the work builds self-esteem.",32,county 
"Change the welfare system, no money for illegal people or new mothers who are not married or work.",32,county 
Children need to feel safe first and foremost. Some regions/apt complexes are simply unsafe and need gang violence and other types of violence addresses.,32,county 
Community safety. Good public education. Program for bullying and gang involvement.,32,county 
Continue More At 4 and early education opportunities.,32,county 
"Crack down on gang violence, and shootings. Make streets safe for children.",32,county 
Don't force a cookie cutter education program on our K-8 children in non-magnet schools.,32,county 
Durham public schools need huge improvements so there is less flight to charter and public schools. The number of charter schools should be limited and DPS needs to become more appealing.,32,county 
Durham should start back providing free camps in each neighborhood to provide them another option to getting in trouble.,32,county 
"Early childhood education for all children, free of charge.",32,county 
Education.,32,county 
Eliminate CRT.,32,county 
Encourage more STEM programs. Provide more after school activities. Promote higher education. Provide affordable college options.,32,county 
Equal opportunity.,32,county 
"Examine home life/style of learning of each child and adjust ‘teaching methods’ accordingly. Background checks on ‘educators’ and provide care and follow-up care when needed. They have a huge responsibility as caregivers therefore need occasional care themselves…and most chose the profession out of love, not prestige.",32,county 
Find a gang prevention program that works.,32,county 
Find all the public schools equally! Provide the same opportunities the rich kids get across the board!,32,county 
Focus on better schools. Increased technical training allowing readiness to increase into technical partial coming into the area.,32,county 
"Focus on the Schools, Trade schools and access to higher learning. Provide mental health services for families in need.",32,county 
Freedom to choose.,32,county 
"Full free preschool, high quality education at all levels, eliminate charter schools. afterschool programs. safe.",32,county 
"Get rid of gangs, they are a cancer on society.",32,county 
Give them parents who have the ability to take care of them or help the schools.,32,county 
"govt on any level is not the solution to any problem or concern. Throwing taxpayer's money at the problem solves nothing. Public schools can provide quality education, other than that it is up to the parents, private citizens, and churches to help children and youth of the community.",33,county 
Greater investments in schools.,33,county 
Gun control.,33,county 
Have more parental involvement; require student attendance in school; provide more positive recreational opportunities.,33,county 
"Have more schools with much smaller populations and smaller teacher to student ratios. More year-round schools. Have more small parks and gathering places in more areas. Have more after school programs including programs that run though out the night for children whose parents work night shifts. Possibly, schools at nighttime.",33,county 
Have programs and activities in place and accessible for children of all economic backgrounds.,33,county 
Have programs for children with law enforcement.,33,county 
"Hire more teachers. provide more recreational activities. new programs, more workers, social services.",33,county 
"Honestly, other than living inside Durham we shop and visit in wake and Granville County for most other needs, including education. Because of its negative reputation with violence and lack of resources, we frequent other counties amenities.",33,county 
"Improve public school curriculum. Emphasis reading, math, English.",33,county 
improve public schools.,33,county 
"In schools, teach How to handle finances, art, home economics, shop for a trade.  Sponsor volunteer programs for youth (ex-clean up parks, painting).",33,county 
"Invest in school systems, pay teachers better.",33,county 
"Job training programs, then job availability. Increase funding for elementary students in under privileged areas.",33,county 
"Job training, mentors, parenting classes. It must start with the parents.",33,county 
Maintain high standards in the schools. Do not let the pandemic become the excuse to allow students to underperform.,33,county 
Make educational tools more accessible and encourage more youth participation in the community and local government.,33,county 
"Make sure all have adequate food, housing, healthcare, education, and recreation.",33,county 
Make sure educational opportunities are equal across the board and get rid of charter schools.,33,county 
Make universities affordable.,33,county 
Make upgrades to public schools as children often go to school with harmful mold and flooding,33,county 
Mentoring; community and school partnerships; facilities that can provide extracurricular activities for youth (arts and athletics). Investing in STEM education.,33,county 
More community programs even if you have to ask for churches to help.,33,county 
More funding for public schools and recreation.,33,county 
More funding for schools. more police.,33,county 
More mental health counseling. Mandatory life skill classes like making a budget. More emphasis on trade education and less on college.,33,county 
More money into DPS education. Lower class sizes in elementary & high schools.,33,county 
"More options (after school, weekends) for at-risk children.",33,county 
More positive interactions between youth and police so youth can trust police more.,33,county 
"More programs like Boys and Girls Club, safe. more parenting programs.",34,county 
More technical programs for those you don't want to go to college,34,county 
More youth activities geared toward furthering and preserving youth's mental and physical development.,34,county 
Need more head start sort of programs. Make it easier to get help for handicap children.,34,county 
Open clubs for children and youth to have a place to go after school and weekends. offer public areas for youth to go to for school tutoring.,34,county 
"Open the eyes of the mothers and fathers, support the mothers working with children.",34,county 
Opening community youth centers.,34,county 
Parents need to take responsibility.,34,county 
"Pay teachers a decent salary, provide computers or access for all children. Involve youth in community service projects to earn special credits for some tangible recognition.",34,county 
Pay teachers more.,34,county 
Place more accountability on the parents holding them accountable.,34,county 
Police protection and qualified personnel.,34,county 
Primary focus on recruiting excellent teachers.,34,county 
Programs for at risk youth.,34,county 
Programs that would ensure they attend school on a regular basis from day-care (entry into kindergarten).,34,county 
Programs to keep kids involved and off the streets.,34,county 
Promote family relations and activities. The family is the heart and soul of the nation or city/country.,34,county 
Proper teaching in schools reading writing and arithmetic for future jobs.,34,county 
Provide additional parks & playgrounds.,34,county 
"Provide child local tax credit. Provide free child-care. Provide free extracurricular activities, create safe neighborhoods for kids with safe playgrounds",34,county 
Provide cost effective before and after school programs. Mentorships within police department and fire departments/other city and county departments.,34,county 
Provide resources for at risk children and youth.,34,county 
Provide safe middle and high schools. Kids are walking around with knives and guns threatening others.,34,county 
"Provide sports facilities for k-12 ages, Durham students. indoor pool, ice rink, baseball fields. Bull City Little League has no running water or bathrooms.",34,county 
Quality education safety policies.,34,county 
"Quality education, after school programs.",34,county 
Quality education.,34,county 
Quality teachers in ALL schools.,34,county 
Remove the gangs and gang violence and drugs the gangs bring to Durham.,34,county 
Require families to come to programs together.,34,county 
"Safety, recreation opportunities, church, good education.",34,county 
Safety. challenge their minds. talents developed. Expand their world.,34,county 
Sidewalks and crosswalks near and around every single school. An intense PR campaign to improve the image of the wonderful public schools.,34,county 
"Small class sizes, higher teacher pay to attract the best teachers and start a student mentorship program for high school.",35,county 
Stop public schools & officials from teaching hate for one ethnic or race lowering education because of race & ethnic background. Have parents have more say what is being taught.,35,county 
Stop teaching them to be communists and perpetual victims.,35,county 
Talk to parents more.,35,county 
Understand that there is major difference between equality vs equity; additionally stop acting like racism does not exist and approach it heads on.,35,county 
Universal pre-k.,35,county 
Up to the parents.,35,county 
VERY LITTLE - IT SHOULD BE DONE IN THE HOME.,35,county 
Work with the parents to engage the children.,35,county 
A wide variety of after school programs.,35,city
"Abandon charter schools and ""magnet schools"". Use the money to improve the leadership, facilities, faculty of ALL of the public schools.",35,city
Access to mental health. Better Public Schools. Better early intervention and screening- how could my son’s level 2 (moderate) autism be completely missed?,35,city
"Access to quality free childcare, preschool, and aftercare.",35,city
Affordable childcare.,35,city
Affordable housing.,35,city
Affordable social/sports options. Tutoring available. School lotteries are not so exclusive.,35,city
"All ages - drop the mandates and the vaccines and get back to empowering the young. They are your future too, you know.",35,city
All children need space to play and exercise with supervision and kindness.,35,city
All kids should have a mentor and a counselor that sees the best in them.,35,city
Allow more recreational activities for ALL children.,35,city
Allow people to make more of their own choices. Do not have so many mandates and laws and programs that the taxes to pay for all these programs stifles the affordability of living in Durham.,35,city
An indoor Rec center closer to SOUTH Durham (Southpoint area) for families down here.,35,city
Anything that will keep children on a path toward success commensurate with their abilities and level of effort. Remove obstacles that lead to their turning to gangs and crime and drugs and violent lifestyles.,35,city
"As far as I know, no one has come up with a solution to that problem.  Good luck trying.",35,city
"Be sure that all children regardless of ethnicity, income, etc. get the same opportunities.",35,city
Better after school programs and day care programs that are free or affordable.,35,city
Better funding for schools.,35,city
Better pay for teachers.,35,city
Better playground facilities and better public schools.,35,city
Better programs to reach men ages 25-35. Jobs! Programs that will help those who have some marks on their record to be productive working citizens. Stop ignoring that age group.,35,city
Better public transit system.,35,city
Better schools and food programs.,35,city
Better schools will attract more teachers with experience. More support will retain teachers. Increase teacher pay.,35,city
Bring back children club. Durham just needs to invest in the kids. Durham is only worried about the downtown area.,36,city
Bring prayer back into schools. Services to assist parents. Better access to affordable resources.,36,city
Build more community centers. Have well trained police officers assigned to their own neighborhoods.,36,city
"By making sure IEPs are followed through on. My sons were not, and the schooling was so bad I home schooled him for 1 year and now he is an Officer in the USMC. It is all about money and unfortunately the children with IEPs don't get the benefits.",36,city
Career training for middle and high school. increased funding.,36,city
Charter schools and vouchers.,36,city
Children need mentors and expectations to society. Parents need to ask for help and take advice. Quit letting kids run around unsupervised. Too much freedom. More activities to be involved in that reach and train them to be productive in society.,36,city
Children should never be given back to parents who have drug/alcohol related problem and should have the potential to grow up in a healthy environment. Foster parents should be required to attend parenting classes and children be required to have checkups to make sure they are healthy.,36,city
"City and county should ensure resources are well allocated in schools, funding that support low economic students to ensure a college or career vision. City and County should clean up Durham and enforce an environmentally clean and safe image in schools and within the community.",36,city
"Clean schools several times/days to beat back COVID and use the Federal money to install new, more effective air filtration systems. We GOTTA get kids SAFELY back in the classrooms!",36,city
Clean up the parks.,36,city
Community involvement.,36,city
"Community schools with wrap around services, get cops out of schools, a real investment in public health services, arts, dance, music opportunities.",36,city
"Competent teachers, mental health assessment, equity in education to all.",36,city
Computers and internet need to be available to all.,36,city
"Connection between govt, schools, and church.",36,city
Consistently promoting programs to magnify/ bring out their potentials. Resources broad-casted more.,36,city
Continue advocating the importance of no child left behind.,36,city
Continue improving coordination of services and education/skill development to support kids and give them positive learning and living environments.,36,city
Continue to improve the schools.,36,city
"Continue to invest in: Education, Social services (ONLY for families who truly need it, and it should be temporary NOT years and years) and Churches.",36,city
"Continue to provide a quality, and equal education with qualified schoolteachers, and eliminating troublemakers in the classrooms so all children can achieve, without the threat of violence, and bullying from other children. all ages.",36,city
Continue to provide well rounded meals in the schools for all children. Ensure dental and health care availability for all students. Provide mentors in the schools. Encourage industry to have summer employment availability. Programs to assist parents in improving parenting skills.,36,city
Continue to teach them that Durham can be a beacon of a place that Terry Sanford & John Hope Franklin called home (I knew both later in life). The city that was the childhood of Pauli Murray.,37,city
Create more opportunities without stimulations teach our children as if they have to become adults show them support understanding self-programs provide transportation.,37,city
Create safer places to play. Clean up the Tobacco Trail at Fayetteville Road. Clean up the garbage. Create more artwork directed at children.,37,city
Dangerous to walk to school.,37,city
Do better.,37,city
